1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-35.98,4.43,5.44,14.84,32.74,28.97,35.04,6.35,37.78,-0.45,static
-35.98,4.45,5.4,14.82,32.76,28.98,35.04,6.36,37.8,-0.47,static
-35.97,4.46,5.42,14.84,32.76,28.98,35.03,6.37,37.77,-0.44,static
-35.97,4.51,5.4,14.84,32.74,28.96,35.02,6.34,37.77,-0.49,static
-35.96,4.51,5.39,14.82,32.73,28.94,35.01,6.32,37.75,-0.49,static
-35.97,4.49,5.4,14.82,32.75,28.96,35.04,6.36,37.74,-0.48,static
-35.97,4.49,5.38,14.84,32.73,28.99,35.04,6.45,37.7,-0.45,static
-35.97,4.49,5.37,14.86,32.74,28.99,35.04,6.43,37.72,-0.46,static
-35.99,4.48,5.38,14.81,32.71,28.91,35.02,6.35,37.71,-0.51,static
-35.99,4.46,5.4,14.8,32.72,28.92,35.04,6.35,37.74,-0.51,static
-36.02,4.48,5.38,14.83,32.74,28.97,35.05,6.39,37.73,-0.49,static
-36.03,4.46,5.39,14.82,32.76,28.95,35.07,6.39,37.77,-0.52,static
-36.0,4.47,5.43,14.81,32.78,28.93,35.08,6.34,37.78,-0.52,static
-36.01,4.47,5.43,14.81,32.8,28.92,35.1,6.32,37.8,-0.54,static
-36.07,4.5,5.39,14.82,32.78,28.91,35.06,6.3,37.76,-0.56,static
-36.08,4.51,5.42,14.8,32.77,28.9,35.03,6.28,37.72,-0.54,static
-36.04,4.5,5.44,14.8,32.79,28.91,35.03,6.3,37.69,-0.55,static
-35.98,4.49,5.46,14.77,32.78,28.87,35.03,6.26,37.69,-0.54,static
-35.93,4.47,5.49,14.72,32.76,28.8,34.98,6.19,37.66,-0.58,static
-35.95,4.47,5.45,14.7,32.74,28.8,34.99,6.17,37.65,-0.58,static
-35.96,4.48,5.48,14.75,32.77,28.85,34.99,6.2,37.61,-0.55,static
-35.92,4.47,5.5,14.74,32.79,28.83,35.02,6.17,37.65,-0.59,static
-36.0,4.48,5.49,14.76,32.77,28.86,35.04,6.17,37.64,-0.57,static
-36.03,4.47,5.47,14.78,32.74,28.87,35.02,6.17,37.66,-0.59,static
-36.04,4.47,5.48,14.76,32.74,28.85,35.01,6.14,37.63,-0.61,static
-36.06,4.47,5.48,14.76,32.79,28.81,35.04,6.11,37.66,-0.59,static
-36.06,4.49,5.46,14.78,32.77,28.84,35.04,6.12,37.69,-0.62,static
-36.03,4.49,5.45,14.82,32.79,28.87,35.05,6.16,37.71,-0.59,static
-35.96,4.49,5.5,14.78,32.79,28.84,35.06,6.14,37.74,-0.6,static
-35.96,4.49,5.54,14.82,32.81,28.87,35.09,6.17,37.75,-0.61,static
