1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
69.57,-63.11,13.42,-24.82,28.77,46.91,37.47,-8.17,29.29,-33.93,peace
69.76,-63.15,13.36,-24.91,28.74,46.9,37.45,-8.16,29.23,-33.88,peace
70.1,-63.12,13.38,-24.99,28.56,46.9,37.33,-8.14,29.17,-33.88,peace
70.11,-63.14,13.39,-25.09,28.38,46.92,37.17,-8.23,29.03,-33.88,peace
69.96,-63.22,13.4,-25.12,28.4,46.91,37.22,-8.29,29.09,-33.94,peace
69.89,-63.13,13.46,-25.01,28.51,47.0,37.44,-8.22,29.26,-33.89,peace
70.1,-63.2,13.35,-25.11,28.33,47.05,37.32,-8.24,29.21,-33.81,peace
70.05,-63.18,13.33,-25.06,28.26,47.12,37.25,-8.25,29.2,-33.72,peace
69.8,-63.09,13.39,-25.0,28.43,47.07,37.35,-8.25,29.28,-33.75,peace
70.08,-63.06,13.28,-25.26,28.35,46.91,37.17,-8.42,29.13,-33.85,peace
70.08,-63.1,13.25,-25.24,28.51,46.88,37.19,-8.52,29.09,-34.04,peace
70.08,-63.09,13.27,-25.18,28.7,46.86,37.25,-8.55,29.17,-34.17,peace
70.08,-63.02,13.26,-25.24,28.71,46.81,37.25,-8.61,29.14,-34.18,peace
70.09,-63.17,13.23,-25.42,28.5,46.75,37.0,-8.64,28.92,-34.15,peace
69.58,-63.12,13.43,-25.22,28.69,46.71,37.12,-8.69,28.99,-34.14,peace
69.45,-63.06,13.53,-25.0,28.93,46.69,37.3,-8.68,29.12,-34.18,peace
69.42,-63.11,13.44,-24.8,28.76,46.88,37.29,-8.46,29.1,-33.91,peace
69.33,-63.09,13.45,-24.78,28.67,46.91,37.22,-8.39,29.06,-33.76,peace
68.98,-63.03,13.69,-24.72,28.8,46.88,37.28,-8.49,29.09,-33.77,peace
68.81,-63.0,13.82,-24.7,28.94,46.75,37.22,-8.67,29.0,-33.92,peace
