1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
99.48,-81.12,78.78,-9.36,88.96,17.34,107.73,0.28,111.96,-11.86,smile
100.39,-81.02,78.51,-9.38,88.98,17.33,107.63,0.27,111.8,-12.1,smile
101.93,-81.12,78.15,-9.43,89.15,17.46,107.71,0.27,111.81,-12.26,smile
102.92,-81.24,77.97,-9.5,89.25,17.61,107.84,0.43,111.94,-12.21,smile
103.02,-81.35,77.97,-9.63,89.3,17.58,107.92,0.46,112.08,-12.13,smile
102.34,-81.47,77.84,-9.44,89.28,17.65,107.99,0.6,112.26,-11.92,smile
101.91,-81.09,78.0,-9.42,89.17,17.64,107.8,0.65,112.15,-11.85,smile
101.57,-81.27,78.13,-9.36,89.05,17.76,107.58,0.85,112.04,-11.62,smile
101.47,-81.44,78.16,-9.53,89.09,17.47,107.59,0.59,112.02,-11.81,smile
100.68,-81.25,78.23,-9.67,89.2,17.36,107.74,0.53,112.1,-11.82,smile
101.06,-81.1,78.03,-9.19,89.33,17.66,107.72,0.73,112.05,-11.68,smile
99.51,-80.85,78.28,-8.81,89.24,17.96,107.62,1.02,111.87,-11.39,smile
99.42,-80.82,78.42,-8.81,89.31,18.02,107.72,1.17,111.96,-11.21,smile
99.46,-81.05,78.53,-8.88,89.3,17.9,107.66,1.13,111.9,-11.21,smile
100.05,-81.34,78.83,-9.16,89.23,17.85,107.63,1.22,111.93,-11.02,smile
99.71,-81.59,78.65,-9.12,89.28,17.77,107.8,1.25,112.19,-10.88,smile
99.02,-81.76,78.81,-8.97,89.1,17.87,107.72,1.48,112.38,-10.64,smile
97.79,-81.7,78.85,-9.02,89.08,17.8,107.75,1.53,112.44,-10.4,smile
97.09,-81.91,78.47,-8.94,89.27,17.58,107.84,1.35,112.38,-10.44,smile
98.06,-82.17,78.4,-8.97,89.33,17.77,107.58,1.4,112.04,-10.53,smile
99.64,-82.33,78.62,-9.35,89.4,17.93,107.44,1.29,111.77,-10.57,smile
98.38,-82.71,78.67,-9.37,89.32,17.92,107.36,1.37,111.74,-10.25,smile
98.38,-83.01,78.55,-8.98,89.23,18.02,107.36,1.53,111.8,-9.96,smile
97.72,-82.93,78.63,-8.86,89.07,18.04,107.25,1.73,111.89,-9.74,smile
97.14,-82.77,78.7,-8.74,88.98,17.87,107.42,1.73,112.17,-9.62,smile
94.76,-82.62,78.47,-8.55,89.05,17.77,107.45,1.65,112.16,-9.61,smile
94.33,-82.25,78.4,-8.38,89.17,17.71,107.52,1.5,112.04,-9.78,smile
94.8,-81.78,78.66,-8.31,89.25,17.68,107.6,1.5,112.04,-9.72,smile
95.01,-81.95,78.94,-8.45,89.23,17.65,107.5,1.39,111.87,-9.75,smile
95.85,-82.01,79.12,-8.68,89.27,17.5,107.45,1.16,111.85,-10.0,smile
97.18,-82.1,78.98,-8.82,89.35,17.56,107.64,1.24,112.06,-10.12,smile
98.73,-81.98,79.09,-8.96,89.31,17.61,107.56,1.11,112.0,-10.44,smile
99.69,-82.1,79.17,-8.92,89.12,18.05,107.16,1.54,112.05,-10.12,smile
99.38,-81.9,79.24,-8.9,89.03,17.9,107.25,1.6,112.22,-10.04,smile
101.63,-82.34,78.75,-9.06,89.25,17.87,107.36,1.49,112.28,-10.21,smile
100.09,-82.72,78.93,-8.75,88.97,18.26,107.26,1.85,112.26,-9.86,smile
98.03,-82.86,78.89,-8.48,88.95,18.42,107.32,2.03,112.42,-9.68,smile
96.27,-82.6,78.81,-8.16,88.67,18.34,107.81,2.06,112.11,-9.31,smile
95.26,-82.41,78.52,-8.08,88.72,18.31,107.67,1.97,111.88,-9.51,smile
