1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
128.27,-67.56,24.05,-75.76,13.84,59.95,28.61,24.39,153.93,-76.83,yoo
128.38,-67.81,23.77,-75.58,13.69,60.15,28.52,24.56,154.01,-76.94,yoo
128.8,-68.05,23.51,-75.62,13.32,60.46,28.33,24.9,153.8,-76.81,yoo
129.12,-68.16,22.67,-75.44,13.26,60.6,28.22,25.02,153.88,-76.68,yoo
128.67,-68.34,23.5,-75.41,13.2,60.74,28.18,25.16,154.03,-76.86,yoo
128.37,-68.77,23.7,-75.53,13.13,60.7,27.94,25.17,154.43,-76.76,yoo
127.6,-68.71,24.5,-75.49,13.2,60.67,27.83,25.15,154.59,-76.43,yoo
126.85,-68.37,25.28,-75.3,13.47,60.64,28.01,25.1,154.45,-76.06,yoo
126.06,-68.11,26.61,-75.37,13.72,60.52,28.11,24.97,155.15,-75.87,yoo
125.67,-68.08,26.75,-75.52,13.69,60.38,28.1,24.82,155.27,-76.04,yoo
125.45,-68.05,27.07,-75.6,13.7,60.33,28.07,24.78,155.16,-76.06,yoo
125.01,-67.79,28.01,-75.41,13.86,60.42,28.08,24.86,155.34,-75.55,yoo
124.34,-67.53,29.36,-75.56,14.1,60.24,28.22,24.66,155.44,-75.45,yoo
124.27,-67.38,29.57,-75.9,14.29,59.98,28.34,24.38,156.21,-75.21,yoo
123.86,-67.22,30.06,-75.95,14.4,59.73,28.46,24.08,157.15,-75.07,yoo
124.22,-67.19,29.8,-75.39,14.16,59.84,28.61,23.97,156.85,-75.49,yoo
124.39,-67.54,29.03,-75.19,13.88,60.17,28.49,24.34,156.17,-75.81,yoo
124.46,-67.83,28.08,-74.99,13.74,60.23,28.23,24.47,155.72,-75.76,yoo
124.59,-68.25,28.01,-74.65,13.73,60.54,28.06,24.81,154.78,-75.27,yoo
124.01,-68.27,28.97,-74.71,14.04,60.62,28.06,24.98,154.58,-74.64,yoo
123.64,-68.15,29.48,-74.74,14.27,60.54,28.07,24.94,154.89,-74.12,yoo
122.8,-67.87,30.51,-74.85,14.66,60.38,28.18,24.82,155.06,-73.7,yoo
122.25,-67.59,31.45,-74.83,14.88,60.25,28.31,24.71,155.47,-73.37,yoo
122.3,-67.38,30.93,-75.08,15.29,59.89,28.73,24.27,155.46,-73.63,yoo
122.54,-67.45,29.54,-74.71,15.28,59.86,28.82,24.15,154.66,-73.94,yoo
122.89,-67.81,28.61,-74.69,14.98,59.93,28.57,24.23,154.94,-74.62,yoo
122.86,-68.11,27.73,-74.71,15.06,59.93,28.51,24.21,154.32,-75.25,yoo
123.09,-68.14,26.89,-74.66,14.68,59.96,28.13,24.3,155.12,-74.71,yoo
123.32,-67.37,26.35,-74.28,14.09,60.44,28.09,24.91,157.72,-74.75,yoo
124.88,-65.46,25.51,-74.24,12.65,60.92,28.01,25.67,160.85,-74.58,yoo
125.01,-63.9,28.18,-72.68,13.74,61.53,29.56,26.4,159.03,-74.02,yoo
120.76,-64.28,30.2,-70.47,17.53,61.33,31.77,26.26,154.96,-73.08,yoo
116.36,-66.1,31.08,-70.08,20.33,60.55,32.56,25.31,151.71,-72.44,yoo
115.13,-68.02,30.24,-71.42,20.58,59.61,31.5,24.19,152.09,-71.84,yoo
115.96,-68.67,26.68,-72.44,19.37,59.29,30.35,23.69,111.76,-71.85,yoo
117.35,-68.7,23.09,-72.86,17.66,59.48,29.43,23.92,117.38,-73.0,yoo
119.18,-67.61,20.53,-73.38,15.6,59.6,28.66,24.27,82.04,-73.67,yoo
120.65,-65.77,21.28,-73.62,15.24,59.6,29.33,24.39,89.25,-74.43,yoo
119.19,-65.19,24.99,-72.65,16.85,59.38,30.63,24.39,93.14,-73.68,yoo
116.6,-65.53,27.54,-71.79,18.87,58.96,31.53,23.96,96.24,-72.91,yoo
116.16,-66.61,27.65,-71.73,19.73,58.8,31.63,23.56,100.25,-72.52,yoo
116.94,-67.39,25.73,-72.03,19.13,58.89,31.01,23.45,104.52,-73.02,yoo
118.54,-67.45,23.81,-72.24,18.07,59.27,30.52,23.76,108.15,-74.19,yoo
119.54,-67.34,23.28,-72.25,17.6,59.68,30.35,24.18,111.9,-74.25,yoo
118.98,-67.22,24.39,-71.96,17.79,59.77,30.41,24.3,115.87,-73.86,yoo
118.7,-67.27,25.52,-71.7,17.99,59.9,30.42,24.47,118.84,-73.6,yoo
118.76,-67.28,25.95,-72.23,18.03,59.84,30.36,24.47,122.89,-73.23,yoo
118.25,-67.18,27.12,-72.27,17.94,59.89,30.22,24.6,126.92,-72.96,yoo
117.22,-67.02,28.89,-72.45,18.32,59.59,30.35,24.34,130.15,-72.49,yoo
116.63,-66.79,29.33,-72.56,18.59,59.24,30.46,23.91,133.78,-72.43,yoo
117.14,-66.47,29.93,-72.9,18.49,59.14,30.41,23.9,136.49,-72.51,yoo
117.94,-66.44,29.22,-72.92,18.64,59.11,30.67,23.74,139.35,-72.55,yoo
118.76,-66.32,28.45,-72.91,18.53,59.02,30.78,23.53,142.06,-73.01,yoo
119.62,-66.37,28.77,-73.15,18.31,59.1,30.72,23.6,143.53,-72.73,yoo
120.08,-66.39,27.69,-73.21,17.96,59.17,30.74,23.62,145.71,-73.61,yoo
120.78,-66.42,26.75,-73.14,17.51,59.47,30.59,23.88,147.09,-73.69,yoo
121.16,-66.63,26.16,-73.21,17.22,59.61,30.51,23.98,148.51,-74.2,yoo
121.77,-67.14,25.11,-73.28,16.93,59.68,30.42,24.02,148.58,-74.98,yoo
122.13,-67.35,25.08,-73.21,16.49,59.97,30.08,24.36,149.51,-75.0,yoo
122.31,-67.34,25.23,-73.12,16.46,60.14,30.03,24.54,150.36,-74.79,yoo
122.14,-67.33,25.29,-73.13,16.58,60.02,30.08,24.39,151.78,-74.56,yoo
122.41,-67.13,25.04,-73.13,16.5,59.96,30.03,24.33,152.88,-74.81,yoo
122.76,-67.2,24.4,-73.06,16.36,60.1,29.99,24.46,153.48,-74.87,yoo
122.87,-67.39,24.01,-73.0,16.14,60.29,29.85,24.67,153.36,-75.41,yoo
122.86,-67.46,23.9,-72.79,15.91,60.51,29.64,24.96,153.39,-75.24,yoo
122.33,-67.58,23.92,-72.57,15.87,60.66,29.43,25.18,153.99,-75.01,yoo
121.38,-67.7,24.78,-72.44,16.02,60.71,29.31,25.29,154.74,-74.49,yoo
