1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-11.89,-33.13,17.17,28.65,143.83,65.86,56.78,39.57,71.59,-53.6,i
-12.03,-33.11,17.07,28.75,144.07,65.72,56.93,39.68,71.03,-53.47,i
-11.97,-33.07,17.21,28.56,144.41,64.89,56.98,38.87,72.77,-56.78,i
-12.17,-33.08,17.01,28.83,144.87,65.0,56.89,39.09,70.88,-56.46,i
-11.85,-32.93,17.34,28.97,144.54,65.5,57.09,40.25,73.54,-54.71,i
-11.88,-33.07,17.36,28.74,144.48,65.22,57.06,39.45,77.1,-54.8,i
-12.28,-33.21,17.07,28.85,144.71,64.95,56.94,39.19,77.19,-55.87,i
-12.52,-33.01,17.08,29.21,144.33,64.94,57.44,39.91,77.08,-54.63,i
-12.49,-33.02,17.13,29.25,144.29,64.96,57.77,40.08,76.21,-53.25,i
-12.42,-33.11,17.07,29.19,144.35,65.07,57.91,40.13,76.15,-53.31,i
-12.5,-33.22,16.92,29.17,144.6,65.1,58.02,40.13,75.79,-53.62,i
-12.67,-33.37,16.78,29.01,144.78,64.91,58.04,40.06,74.78,-54.3,i
-12.48,-33.38,16.8,28.97,144.62,65.18,58.22,40.32,74.92,-52.98,i
-12.42,-33.36,16.76,28.99,144.77,65.16,58.05,40.2,74.01,-52.58,i
-12.46,-33.48,16.69,28.7,145.02,64.79,58.0,39.75,74.39,-54.59,i
-12.34,-33.47,16.74,28.73,144.77,65.08,58.07,39.98,73.75,-52.55,i
-12.19,-33.45,16.9,28.71,144.61,65.02,58.12,39.93,74.0,-52.43,i
-12.21,-33.46,16.77,28.7,144.61,65.0,58.09,39.93,74.39,-52.43,i
-12.29,-33.6,16.66,28.53,144.89,64.76,57.92,39.47,74.09,-54.32,i
-12.36,-33.46,16.75,28.71,144.65,64.97,58.04,39.71,73.92,-53.66,i
-12.29,-33.51,16.77,28.62,144.51,64.81,57.97,39.54,74.22,-53.71,i
-12.28,-33.57,16.71,28.61,144.61,64.7,57.76,39.41,74.4,-53.93,i
-12.43,-33.49,16.6,28.77,144.87,64.69,57.83,39.39,73.57,-54.29,i
-12.5,-33.35,16.64,28.93,144.68,64.74,57.9,39.52,73.38,-53.97,i
-12.46,-33.28,16.67,29.01,144.58,64.84,57.92,39.69,73.47,-53.65,i
-12.49,-33.31,16.6,28.97,144.72,64.76,57.81,39.72,73.42,-53.81,i
-12.68,-33.22,16.65,29.17,144.99,64.73,57.99,39.89,73.48,-53.41,i
-12.68,-33.0,16.97,29.11,145.03,64.28,57.97,39.36,73.67,-54.2,i
-12.65,-32.92,16.97,29.23,145.0,64.38,58.07,39.47,73.35,-53.95,i
-12.8,-32.97,16.86,29.32,145.2,64.57,58.0,39.66,73.06,-52.69,i
-12.91,-32.95,16.79,29.36,145.32,64.55,57.91,39.68,72.67,-52.96,i
-12.95,-32.98,16.82,29.21,145.23,64.35,57.81,39.44,73.05,-53.84,i
-12.82,-33.03,16.9,29.11,144.96,64.46,57.83,39.44,72.96,-53.76,i
-12.64,-33.09,16.93,29.07,145.08,64.48,57.96,39.57,72.69,-53.39,i
-12.34,-33.21,16.91,28.85,145.09,64.7,57.97,39.61,72.07,-53.4,i
-12.05,-33.31,16.94,28.77,144.89,64.92,58.03,39.88,72.28,-52.71,i
-12.07,-33.45,16.79,28.7,145.03,64.84,57.98,39.87,72.34,-52.8,i
-12.21,-33.56,16.6,28.73,145.29,64.81,57.94,39.85,72.16,-53.12,i
-12.24,-33.55,16.59,28.68,145.29,64.74,57.9,39.75,72.2,-53.19,i
-12.3,-33.52,16.59,28.79,145.41,64.74,57.9,39.78,71.6,-53.31,i
-12.47,-33.53,16.45,28.92,145.73,64.8,57.89,39.82,71.1,-53.41,i
-12.42,-33.39,16.61,28.96,145.65,64.82,57.85,39.83,71.25,-53.35,i
-12.48,-33.38,16.66,28.88,145.83,64.82,57.88,39.79,71.11,-53.36,i
-12.23,-33.28,16.92,28.74,145.71,64.86,57.98,39.73,71.02,-53.22,i
-12.17,-33.15,17.02,28.82,145.77,64.85,58.0,39.64,70.31,-53.15,i
-12.36,-33.05,16.94,29.02,145.75,64.98,58.2,40.0,70.26,-52.78,i
-12.45,-32.98,16.99,29.07,145.6,65.03,58.3,40.14,70.32,-52.67,i
-12.42,-33.01,16.88,29.04,145.36,65.18,58.35,40.35,70.66,-51.64,i
-12.6,-33.24,16.6,28.98,145.58,65.07,58.19,40.29,70.54,-51.89,i
-12.73,-33.28,16.58,28.99,145.53,65.01,58.07,40.3,69.92,-51.71,i
-12.64,-33.28,16.68,28.93,145.35,65.04,58.23,40.28,70.23,-51.66,i
-12.53,-33.38,16.79,28.69,145.29,65.04,58.38,40.23,70.31,-52.6,i
-12.36,-33.36,16.93,28.58,145.07,65.06,58.27,40.07,70.07,-51.72,i
-12.36,-33.42,16.99,28.41,145.26,64.86,58.18,39.71,69.47,-52.88,i
-12.17,-33.32,17.14,28.46,145.02,65.34,58.44,40.07,69.19,-52.94,i
-11.92,-33.31,17.39,28.36,144.6,65.56,58.5,40.24,69.26,-52.18,i
-11.99,-33.45,17.34,28.22,144.32,65.6,58.52,40.2,70.04,-52.28,i
-12.02,-33.67,17.16,28.07,144.38,65.35,58.2,39.8,70.76,-53.79,i
-12.23,-33.66,17.06,28.25,144.42,65.37,58.09,39.82,70.2,-53.97,i
-12.21,-33.7,17.02,28.24,144.39,65.37,58.02,39.87,70.25,-54.11,i
-12.22,-33.78,17.02,28.11,144.4,65.32,58.01,39.85,70.32,-53.98,i
-12.12,-33.73,17.18,27.92,143.97,65.4,58.02,39.75,70.99,-53.68,i
-12.19,-33.81,17.09,27.78,144.31,64.99,57.58,39.11,70.55,-55.6,i
-12.15,-33.72,17.15,27.9,144.23,65.4,57.78,39.55,70.26,-54.3,i
-12.06,-33.58,17.57,27.94,143.9,65.97,58.02,39.99,71.25,-53.9,i
-12.12,-33.63,17.41,27.92,144.1,65.79,57.98,39.82,70.78,-54.07,i
-12.03,-33.62,17.43,27.89,144.15,65.82,58.18,39.72,70.33,-53.69,i
-11.98,-33.61,17.42,27.9,144.06,65.9,58.31,39.84,70.55,-53.09,i
-12.05,-33.61,17.37,27.95,144.12,65.63,58.45,39.76,70.88,-53.22,i
-12.16,-33.6,17.26,28.0,144.26,65.53,58.46,39.67,70.62,-53.27,i
-12.28,-33.6,17.17,28.07,144.32,65.31,58.38,39.58,70.74,-53.42,i
-12.3,-33.58,17.2,28.0,144.28,65.18,58.49,39.51,71.17,-53.33,i
-12.27,-33.55,17.22,27.98,144.28,65.1,58.59,39.53,71.01,-53.15,i
-12.3,-33.53,17.22,27.99,144.12,65.13,58.64,39.66,71.34,-52.71,i
-12.3,-33.66,17.11,27.88,144.08,65.12,58.58,39.6,71.65,-52.75,i
-12.3,-33.72,17.04,27.85,144.12,64.88,58.57,39.39,71.69,-53.16,i
-12.3,-33.74,16.92,27.94,144.1,64.97,58.6,39.59,71.34,-52.66,i
-12.32,-33.68,16.87,28.01,144.03,64.91,58.64,39.62,71.69,-52.43,i
-12.34,-33.72,16.74,28.08,144.3,64.91,58.66,39.78,71.26,-52.36,i
-12.25,-33.64,16.86,28.13,144.34,65.05,58.84,39.98,70.94,-51.94,i
-12.22,-33.75,16.83,27.93,144.32,64.86,58.74,39.79,71.59,-52.24,i
-12.29,-33.82,16.78,27.92,144.44,64.77,58.58,39.7,71.06,-53.32,i
-12.21,-33.81,16.63,28.0,144.24,65.0,58.41,40.06,70.67,-52.3,i
-12.16,-33.77,16.7,28.04,144.17,65.02,58.53,40.15,71.19,-51.87,i
-12.32,-33.7,16.63,28.12,144.42,64.95,58.53,40.06,71.57,-52.21,i
-12.24,-33.56,16.73,28.12,144.31,65.07,58.73,40.16,71.36,-51.62,i
-12.07,-33.55,16.83,28.06,144.14,65.18,58.76,40.2,71.84,-51.28,i
-12.11,-33.67,16.72,27.98,144.08,65.04,58.64,40.12,71.92,-51.17,i
-12.16,-33.78,16.62,27.81,144.18,64.89,58.42,39.89,71.63,-51.92,i
-12.06,-33.74,16.72,27.79,143.83,64.91,58.5,39.93,72.09,-51.1,i
-12.11,-33.72,16.67,27.84,143.76,65.0,58.57,40.02,72.01,-50.97,i
-12.1,-33.72,16.68,27.81,143.94,65.04,58.6,39.95,71.25,-51.35,i
-12.03,-33.72,16.65,27.78,143.97,65.11,58.57,39.98,71.36,-51.46,i
-11.93,-33.64,16.74,27.8,143.88,65.16,58.61,39.99,71.55,-51.19,i
-11.98,-33.64,16.7,27.8,143.96,65.17,58.6,39.99,71.35,-51.26,i
-12.04,-33.5,16.76,27.94,143.87,65.19,58.64,40.1,71.27,-50.47,i
-12.06,-33.49,16.76,28.0,143.93,65.07,58.66,40.11,71.39,-50.37,i
