1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
1.63,-62.11,82.14,21.46,110.76,5.2,93.1,-3.98,102.68,-20.26,thumbs up
1.75,-62.15,82.11,21.51,110.76,5.22,93.12,-3.96,102.66,-20.23,thumbs up
1.89,-62.02,82.06,21.48,110.73,5.28,93.05,-3.9,102.67,-20.23,thumbs up
1.79,-61.91,82.13,21.52,110.75,5.26,93.06,-3.9,102.69,-20.17,thumbs up
1.28,-61.91,82.32,21.52,110.84,5.17,93.06,-3.94,102.58,-20.11,thumbs up
1.51,-61.96,82.27,21.42,110.79,5.08,93.0,-4.1,102.66,-20.33,thumbs up
1.79,-62.07,82.13,21.49,110.76,5.17,93.07,-4.05,102.84,-20.27,thumbs up
1.63,-62.04,82.06,21.65,110.78,5.22,93.14,-4.03,102.9,-20.09,thumbs up
1.27,-61.94,82.08,21.46,110.71,5.12,92.94,-4.06,102.75,-20.21,thumbs up
1.06,-61.74,82.13,21.35,110.64,5.15,92.83,-4.03,102.7,-20.2,thumbs up
0.89,-61.79,82.35,21.4,110.74,5.13,92.92,-4.05,102.73,-20.18,thumbs up
0.84,-61.84,82.32,21.33,110.71,4.99,92.85,-4.2,102.69,-20.31,thumbs up
1.16,-61.92,82.21,21.33,110.66,5.05,92.79,-4.2,102.69,-20.46,thumbs up
1.17,-61.99,82.25,21.45,110.74,5.13,92.91,-4.15,102.79,-20.38,thumbs up
1.19,-61.92,82.21,21.51,110.77,5.2,92.96,-4.05,102.76,-20.31,thumbs up
1.33,-61.83,82.2,21.41,110.67,5.19,92.88,-4.08,102.74,-20.42,thumbs up
1.55,-62.03,82.23,21.43,110.78,5.2,92.95,-4.15,102.77,-20.57,thumbs up
1.62,-62.2,82.25,21.48,110.85,5.18,93.03,-4.2,102.85,-20.61,thumbs up
1.64,-62.37,82.12,21.49,110.83,5.22,92.94,-4.13,102.83,-20.53,thumbs up
1.56,-62.17,82.04,21.44,110.73,5.27,92.82,-4.04,102.76,-20.47,thumbs up
1.37,-62.08,82.16,21.41,110.75,5.19,92.86,-4.13,102.84,-20.49,thumbs up
1.28,-62.09,82.18,21.4,110.76,5.13,92.9,-4.2,102.86,-20.52,thumbs up
1.56,-62.04,82.11,21.4,110.73,5.19,92.9,-4.18,102.81,-20.6,thumbs up
1.78,-62.09,82.09,21.44,110.74,5.23,92.97,-4.12,102.86,-20.6,thumbs up
1.66,-62.26,82.04,21.51,110.71,5.3,92.94,-4.03,102.83,-20.43,thumbs up
1.44,-62.24,82.03,21.51,110.69,5.25,92.91,-4.1,102.8,-20.44,thumbs up
1.47,-61.96,81.92,21.49,110.64,5.3,92.83,-4.05,102.73,-20.39,thumbs up
1.37,-61.71,82.09,21.42,110.59,5.3,92.8,-3.99,102.71,-20.29,thumbs up
1.26,-61.61,82.22,21.42,110.69,5.27,92.88,-4.02,102.64,-20.3,thumbs up
1.43,-61.73,82.36,21.44,110.78,5.23,92.91,-4.08,102.63,-20.42,thumbs up
1.64,-61.7,82.34,21.42,110.7,5.26,92.92,-4.14,102.77,-20.61,thumbs up
1.74,-61.81,82.22,21.51,110.68,5.34,92.96,-4.02,102.78,-20.51,thumbs up
1.44,-61.87,82.23,21.55,110.68,5.31,93.0,-4.03,102.85,-20.41,thumbs up
1.49,-61.86,82.13,21.49,110.6,5.33,92.9,-4.0,102.75,-20.37,thumbs up
1.4,-61.79,82.13,21.53,110.62,5.34,92.88,-3.98,102.65,-20.38,thumbs up
1.46,-61.75,82.15,21.56,110.61,5.39,92.93,-3.96,102.72,-20.45,thumbs up
1.69,-61.72,82.2,21.54,110.63,5.39,93.07,-4.0,102.85,-20.47,thumbs up
2.35,-62.13,82.05,21.63,110.61,5.48,93.1,-3.99,102.91,-20.51,thumbs up
2.06,-62.05,81.99,21.63,110.62,5.48,93.0,-3.94,102.85,-20.5,thumbs up
1.85,-61.91,81.97,21.57,110.56,5.49,92.93,-3.9,102.77,-20.42,thumbs up
1.56,-61.85,82.14,21.5,110.59,5.35,92.94,-4.05,102.78,-20.58,thumbs up
